"";"x"
"nbClusters";"3"
"percent A";"0.6"
"percent B";"0.25"
"percent C";"0.15"
"Calinski.Harabatz";"295.726922320452"
"Calinski.Harabatz2";"3.0327840213234"
"Calinski.Harabatz3";"418.221024304438"
"Ray.Turi";"-0.0233483569262244"
"Davies.Bouldin";"-1.13401211759217"
"BIC";"-11538.9755098505"
"BIC2";"-11620.5039491256"
"AIC";"-11426.8327193879"
"AICc";"-11441.2569618121"
"AICc2";"-11427.9320265472"
"postProbaGlobal";"0.999818773753952"
"random";"0.41686858160327"
"algorithmUsed";"kmeans, slow (R)"
"convergenceTime";"3"
